date,logreturns
3/11/16,-0.001260144
3/10/16,-0.017311504
3/9/16,0.001459174
3/8/16,-0.006477612
3/7/16,0.00882739
3/4/16,0.005947427
3/3/16,-0.000725604
3/2/16,0.001969921
3/1/16,-0.000179972
2/29/16,-0.031049757
2/26/16,0.00817856
2/25/16,0.001283522
2/24/16,-0.009571582
2/23/16,-0.009116191
2/22/16,0.01637672
2/19/16,-0.01600442
2/18/16,-0.003030458
2/17/16,0.011402911
2/16/16,-0.022827703
2/12/16,-0.020962124
2/11/16,-0.014275916
2/10/16,0.001024153
2/9/16,-0.004670166
2/8/16,0.003254741
2/5/16,0.015980022
2/4/16,0.034987895
2/3/16,0.001007226
2/2/16,0.005051971
2/1/16,0.022044229
1/29/16,-0.001725481
1/28/16,-0.021999108
1/27/16,-0.013758618
1/26/16,0.025110405
1/25/16,-0.008853751
1/22/16,0.014957175
1/21/16,-0.027891558
1/20/16,-0.001526777
1/19/16,0.002605228
1/15/16,-0.001445437
1/14/16,0.031352512
1/13/16,-0.021251756
1/12/16,0.035368916
1/11/16,-0.011644191
1/8/16,-0.002985625
1/7/16,0.008147891
1/6/16,0.031606
1/5/16,0.009005276
1/4/16,0.003046081
12/31/15,0.020990461
12/30/15,0.012707196
12/29/15,0.008363449
12/28/15,-0.014975963
12/24/15,0.000307222
12/23/15,0.000393626
12/22/15,-0.007668927
12/21/15,-0.006275561
12/18/15,-0.010077911
12/17/15,0.018286555
12/16/15,0.014341637
12/15/15,-0.01451781
12/14/15,-0.005927485
12/11/15,-0.007158793
12/10/15,0.022982055
12/9/15,-0.004513677
12/8/15,0.015591322
12/7/15,-0.000244983
12/4/15,0.004782288
12/3/15,-0.023461638
12/2/15,0.017101497
12/1/15,0.006368622
11/30/15,-0.011012118
11/27/15,0.003415741
11/25/15,-0.001622948
11/24/15,-0.000742859
11/23/15,0.001151517
11/20/15,0.00247192
11/19/15,-0.006639066
11/18/15,-0.000410365
11/17/15,-0.019008606
11/16/15,-7.67E-05
11/13/15,-0.013968627
11/12/15,0.019094042
11/11/15,0.010407784
11/10/15,0.001032476
11/9/15,0.002966471
11/6/15,0.011046012
11/5/15,-0.000920285
11/4/15,0.003110257
11/3/15,0.000317911
11/2/15,-0.00321343
10/30/15,-0.011778503
10/29/15,0.004708365
10/28/15,0.001668567
10/27/15,-0.008444103
10/26/15,-0.001807968
10/23/15,-0.001460842
10/22/15,-0.026486898
10/21/15,-0.020120139
10/20/15,0.005571825
10/19/15,0.005368401
10/16/15,-0.005269267
10/15/15,-0.004606617
10/14/15,-0.016269352
10/13/15,0.001383931
10/12/15,0.00678155
10/9/15,-0.002867731
10/8/15,-0.00455497
10/7/15,-0.003844028
10/6/15,-0.00619435
10/5/15,0.005725792
10/2/15,-0.014881282
10/1/15,-0.017609531
9/30/15,-0.002842126
9/29/15,-0.023642175
9/28/15,0.004910329
9/25/15,0.029124763
9/24/15,0.008569622
9/23/15,0.002912841
9/22/15,0.00013337
9/21/15,0.014408691
9/18/15,-0.002833723
9/17/15,0.014031982
9/16/15,-0.000294231
9/15/15,-0.005349998
9/14/15,-0.011886116
9/11/15,0.003352648
9/10/15,-0.006248621
9/9/15,-0.010023769
9/8/15,0.011705198
9/4/15,-0.02799582
9/3/15,0.011860884
9/2/15,0.005083112
9/1/15,-0.02705294
8/31/15,0.031355
8/28/15,0.012678436
8/27/15,-0.000993767
8/26/15,-0.024630184
8/25/15,-0.049374276
8/24/15,0.005532037
8/21/15,0.038536217
8/20/15,0.043784958
8/19/15,0.028277418
8/18/15,0.006886165
8/17/15,0.005335723
8/14/15,-0.007833297
8/13/15,-0.002523742
8/12/15,0.001960761
8/11/15,-0.003140838
8/10/15,0.013012036
8/7/15,-0.011663806
8/6/15,0.001863274
8/5/15,0.016150174
8/4/15,-0.0075837
8/3/15,0.002839989
7/31/15,0.001843093
7/30/15,0.002107212
7/29/15,-0.003701453
7/28/15,-0.004675221
7/27/15,-0.009062415
7/24/15,0.008437251
7/23/15,0.009923435
7/22/15,0.004424426
7/21/15,0.011005054
7/20/15,0.001128919
7/17/15,-0.003870995
7/16/15,-0.014411744
7/15/15,-0.01458715
7/14/15,-0.001080445
7/13/15,-0.006431646
7/10/15,-0.01667412
7/9/15,-0.015531229
